epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1011.62,1.90646,0.83501,0.83892,0.59647,0.55766,0.57534,0.24324,2.19728,1.20553,0.88998,0.000533463,0.000533463,0.000533463
43,1034.91,1.88676,0.82829,0.83577,0.59571,0.58777,0.58203,0.25149,2.21336,1.26449,0.88796,0.00050306,0.00050306,0.00050306
44,1058.41,1.88969,0.81225,0.83211,0.64128,0.62369,0.61286,0.26804,2.18048,1.24091,0.88361,0.000473098,0.000473098,0.000473098
45,1082.22,1.8945,0.82285,0.82665,0.64689,0.55853,0.57462,0.24277,2.205,1.2401,0.89234,0.000443637,0.000443637,0.000443637
46,1105.98,1.88186,0.81238,0.82822,0.67812,0.62415,0.62257,0.26759,2.18986,1.14997,0.88904,0.000414735,0.000414735,0.000414735
47,1129.33,1.84804,0.79636,0.83198,0.68848,0.59838,0.61416,0.26449,2.20164,1.17255,0.89884,0.000386452,0.000386452,0.000386452
48,1153.51,1.83373,0.78125,0.81802,0.68354,0.56361,0.60299,0.26349,2.20036,1.21053,0.89315,0.000358843,0.000358843,0.000358843
49,1177.02,1.86489,0.7969,0.82771,0.72811,0.59711,0.62593,0.27058,2.21184,1.18376,0.89417,0.000331965,0.000331965,0.000331965
50,1200.45,1.84423,0.78394,0.83542,0.76287,0.57524,0.6141,0.26172,2.22077,1.15371,0.89603,0.000305872,0.000305872,0.000305872
51,1223.96,1.85426,0.79437,0.82619,0.7262,0.5261,0.59286,0.24963,2.23134,1.1897,0.89997,0.000280616,0.000280616,0.000280616
52,1247.48,1.84735,0.79846,0.82591,0.69205,0.5606,0.59994,0.26029,2.2312,1.20587,0.89882,0.000256249,0.000256249,0.000256249
53,1270.92,1.85525,0.78616,0.82339,0.72907,0.55326,0.60837,0.25834,2.20964,1.17721,0.89615,0.000232818,0.000232818,0.000232818
54,1294.53,1.81238,0.76086,0.81693,0.70214,0.54945,0.58785,0.25296,2.20268,1.22224,0.89705,0.000210372,0.000210372,0.000210372
55,1317.83,1.8285,0.77054,0.82701,0.75251,0.54287,0.59836,0.25229,2.21902,1.2078,0.8959,0.000188956,0.000188956,0.000188956
56,1345.31,1.72821,0.75401,0.85014,0.70735,0.57647,0.61031,0.25841,2.1906,1.15748,0.89137,0.000168613,0.000168613,0.000168613
57,1368.63,1.72187,0.74472,0.84295,0.69795,0.57769,0.60028,0.25309,2.21926,1.19132,0.89907,0.000149383,0.000149383,0.000149383
58,1392.01,1.70603,0.73249,0.83008,0.71584,0.56278,0.60202,0.25983,2.22196,1.18444,0.89747,0.000131305,0.000131305,0.000131305
59,1415.39,1.72075,0.74409,0.8407,0.6931,0.57938,0.60099,0.25572,2.21921,1.20925,0.89662,0.000114417,0.000114417,0.000114417
60,1438.58,1.7171,0.74038,0.84757,0.69548,0.59025,0.60892,0.26327,2.19956,1.1813,0.89234,9.87513e-05,9.87513e-05,9.87513e-05
61,1463.86,1.68419,0.72641,0.83892,0.74186,0.57259,0.59929,0.25662,2.21958,1.19986,0.89705,8.43402e-05,8.43402e-05,8.43402e-05
62,1487.03,1.71767,0.73908,0.83882,0.73066,0.56825,0.60694,0.25808,2.21861,1.23032,0.89425,7.12124e-05,7.12124e-05,7.12124e-05
63,1510.1,1.67889,0.71133,0.83948,0.80372,0.53849,0.60841,0.25959,2.20086,1.21149,0.89356,5.93946e-05,5.93946e-05,5.93946e-05
64,1533.16,1.67971,0.71429,0.83904,0.76711,0.55207,0.60849,0.26146,2.21845,1.21493,0.8971,4.89104e-05,4.89104e-05,4.89104e-05
65,1556.26,1.67057,0.71303,0.83345,0.71851,0.57453,0.6039,0.25802,2.20538,1.23537,0.89371,3.97811e-05,3.97811e-05,3.97811e-05
66,1579.4,1.67661,0.70605,0.8392,0.75782,0.55371,0.60756,0.25967,2.19766,1.20314,0.89242,3.20249e-05,3.20249e-05,3.20249e-05
67,1602.69,1.68913,0.72072,0.84364,0.77667,0.55223,0.6056,0.2624,2.19634,1.21906,0.89224,2.56575e-05,2.56575e-05,2.56575e-05
68,1625.89,1.67281,0.70664,0.83585,0.77663,0.55455,0.60511,0.26303,2.20386,1.21174,0.89454,2.06917e-05,2.06917e-05,2.06917e-05
69,1649.1,1.68035,0.70967,0.83696,0.75725,0.55786,0.60317,0.26276,2.19907,1.21201,0.89428,1.71376e-05,1.71376e-05,1.71376e-05
