epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1348.19,1.6552,0.76453,0.86265,0.70284,0.52841,0.57732,0.23646,2.05907,1.16897,0.94855,0.000533463,0.000533463,0.000533463
43,1379.33,1.66483,0.76812,0.855,0.684,0.53751,0.58203,0.2355,2.0651,1.22658,0.94587,0.00050306,0.00050306,0.00050306
44,1414.53,1.663,0.76387,0.8637,0.68426,0.55129,0.59125,0.24126,2.07785,1.14757,0.94732,0.000473098,0.000473098,0.000473098
45,1446.68,1.66698,0.76631,0.8629,0.66869,0.52837,0.56385,0.23769,2.06599,1.15574,0.94806,0.000443637,0.000443637,0.000443637
46,1477.88,1.65941,0.7737,0.86607,0.6091,0.58529,0.58364,0.24097,2.05678,1.1974,0.94242,0.000414735,0.000414735,0.000414735
47,1508.6,1.63058,0.73668,0.86076,0.68638,0.57645,0.60285,0.24251,2.06165,1.17956,0.94757,0.000386452,0.000386452,0.000386452
48,1540.17,1.6311,0.73893,0.86105,0.65491,0.52528,0.5753,0.24298,2.04341,1.17546,0.94051,0.000358843,0.000358843,0.000358843
49,1571.52,1.6329,0.73598,0.85536,0.63143,0.53275,0.55438,0.22654,2.07948,1.17367,0.9497,0.000331965,0.000331965,0.000331965
50,1602.55,1.59166,0.72797,0.85338,0.71279,0.54427,0.59802,0.24568,2.06272,1.19816,0.94386,0.000305872,0.000305872,0.000305872
51,1635.53,1.62492,0.72728,0.85059,0.58479,0.57964,0.56381,0.2395,2.05556,1.17983,0.94249,0.000280616,0.000280616,0.000280616
