epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,217.592,1.45704,1.20441,0.00834,0.72165,0.86147,0.85985,0.56952,1.25294,0.82206,0.01225,0.000670453,0.000670453,0.000670453
43,222.636,1.458,1.13539,0.00886,0.79544,0.8303,0.8976,0.51101,1.54487,0.81085,0.01688,0.000663029,0.000663029,0.000663029
44,227.471,1.44602,1.15226,0.00837,0.80947,0.8055,0.87162,0.5673,1.30414,0.79176,0.01328,0.000655483,0.000655483,0.000655483
45,232.28,1.50227,1.19245,0.00812,0.74659,0.83308,0.86332,0.5504,1.32495,0.80646,0.01301,0.000647819,0.000647819,0.000647819
46,237.124,1.45685,1.17155,0.0081,0.81262,0.77689,0.87184,0.55326,1.36731,0.77472,0.01343,0.00064004,0.00064004,0.00064004
47,241.868,1.46331,1.13374,0.00819,0.79057,0.87546,0.90289,0.60027,1.27893,0.71597,0.01295,0.000632151,0.000632151,0.000632151
48,246.818,1.45976,1.08986,0.00804,0.8002,0.86542,0.89696,0.55724,1.37187,0.77291,0.01349,0.000624156,0.000624156,0.000624156
49,251.541,1.40839,1.07357,0.00813,0.7874,0.82996,0.89972,0.58531,1.25686,0.72592,0.01281,0.000616058,0.000616058,0.000616058
50,256.289,1.41934,1.09294,0.00785,0.80746,0.86255,0.90697,0.54831,1.4095,0.7406,0.01426,0.000607861,0.000607861,0.000607861
51,261.016,1.46833,1.17875,0.00798,0.78517,0.81981,0.87775,0.53769,1.38569,0.78469,0.01374,0.00059957,0.00059957,0.00059957
52,265.702,1.4621,1.08958,0.00777,0.78374,0.77196,0.86452,0.53826,1.37609,0.79715,0.01391,0.00059119,0.00059119,0.00059119
53,270.41,1.41512,1.03432,0.00766,0.83611,0.79262,0.88577,0.54425,1.37546,0.76568,0.01335,0.000582723,0.000582723,0.000582723
54,275.125,1.42855,1.06511,0.00765,0.85946,0.80829,0.89992,0.56664,1.34205,0.74686,0.01296,0.000574175,0.000574175,0.000574175
55,279.993,1.4364,1.059,0.00764,0.84853,0.797,0.90019,0.52823,1.45893,0.75193,0.01472,0.000565549,0.000565549,0.000565549
56,284.7,1.42969,1.04779,0.00815,0.85396,0.83684,0.9194,0.55595,1.41103,0.64872,0.01413,0.000556851,0.000556851,0.000556851
57,289.301,1.44212,1.03153,0.00789,0.89013,0.78154,0.89802,0.59624,1.24917,0.70927,0.01247,0.000548084,0.000548084,0.000548084
58,294.033,1.41939,1.04216,0.00786,0.84211,0.82921,0.90968,0.60083,1.26423,0.68596,0.01242,0.000539252,0.000539252,0.000539252
59,298.682,1.40347,1.03863,0.0079,0.80938,0.83343,0.90769,0.55224,1.40891,0.72287,0.01372,0.000530361,0.000530361,0.000530361
60,303.32,1.39381,0.9916,0.00834,0.79814,0.85175,0.91247,0.57219,1.36485,0.67736,0.01335,0.000521415,0.000521415,0.000521415
61,310.222,1.42975,1.03803,0.00786,0.83262,0.85057,0.90488,0.56623,1.39769,0.69933,0.01378,0.000512418,0.000512418,0.000512418
62,314.893,1.41646,1.00163,0.00803,0.80163,0.85504,0.91092,0.56263,1.38146,0.70042,0.01352,0.000503375,0.000503375,0.000503375
63,319.557,1.38514,1.00013,0.00841,0.87233,0.81259,0.91447,0.59746,1.31745,0.66573,0.01262,0.00049429,0.00049429,0.00049429
64,324.206,1.45838,0.97892,0.00798,0.85531,0.85021,0.91532,0.62405,1.18826,0.63789,0.01156,0.000485168,0.000485168,0.000485168
65,328.934,1.40197,0.97767,0.00729,0.84204,0.86521,0.90972,0.60937,1.24104,0.6657,0.01218,0.000476014,0.000476014,0.000476014
66,333.595,1.39147,0.96002,0.0078,0.82665,0.88586,0.92289,0.61951,1.23484,0.6571,0.01186,0.000466832,0.000466832,0.000466832
67,338.399,1.39869,0.97621,0.00748,0.82453,0.86839,0.92026,0.60427,1.285,0.63935,0.01236,0.000457626,0.000457626,0.000457626
68,343.092,1.40919,0.98174,0.00743,0.82024,0.84735,0.8963,0.57736,1.33898,0.67676,0.01289,0.000448402,0.000448402,0.000448402
69,347.664,1.42499,0.94473,0.00753,0.85343,0.86359,0.9209,0.60161,1.29006,0.64103,0.01255,0.000439164,0.000439164,0.000439164
70,352.325,1.42563,0.99562,0.0077,0.87539,0.82681,0.91155,0.61103,1.20426,0.67584,0.01147,0.000429917,0.000429917,0.000429917
71,356.941,1.40363,0.98246,0.00768,0.86894,0.85004,0.90832,0.60637,1.24771,0.67216,0.01211,0.000420665,0.000420665,0.000420665
72,361.604,1.42052,0.97113,0.00764,0.87916,0.7994,0.89376,0.61024,1.22579,0.70318,0.01185,0.000411413,0.000411413,0.000411413
73,366.448,1.36732,0.94907,0.00824,0.88035,0.86197,0.92356,0.60439,1.28694,0.64741,0.01284,0.000402166,0.000402166,0.000402166
74,371.112,1.37673,0.94486,0.00757,0.89278,0.81265,0.92261,0.61791,1.18053,0.64204,0.01131,0.000392928,0.000392928,0.000392928
75,375.835,1.37973,0.94276,0.00786,0.89238,0.8806,0.93261,0.6171,1.30483,0.62982,0.01235,0.000383704,0.000383704,0.000383704
76,380.66,1.36559,0.93967,0.00724,0.86716,0.8366,0.90405,0.58921,1.33724,0.6911,0.01311,0.000374498,0.000374498,0.000374498
77,385.315,1.37034,0.92106,0.00747,0.89505,0.82834,0.92049,0.60114,1.29644,0.63571,0.0125,0.000365316,0.000365316,0.000365316
78,390.128,1.35243,0.90696,0.00771,0.8942,0.8277,0.91636,0.60313,1.28058,0.63917,0.01255,0.000356162,0.000356162,0.000356162
