epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,181.387,1.3183,1.01242,1.22042,0.88668,0.84346,0.92892,0.59628,1.21887,0.82367,1.25153,0.000670453,0.000670453,0.000670453
43,185.114,1.30771,0.96318,1.2463,0.94337,0.89679,0.94215,0.58693,1.32213,0.78995,1.34174,0.000663029,0.000663029,0.000663029
44,188.833,1.29103,0.98327,1.23783,0.92875,0.85482,0.93942,0.59613,1.28102,0.78592,1.29057,0.000655483,0.000655483,0.000655483
45,192.557,1.33035,0.95868,1.23816,0.91803,0.91347,0.94729,0.59912,1.24979,0.74811,1.26832,0.000647819,0.000647819,0.000647819
46,196.339,1.31302,0.98437,1.23757,0.90323,0.92324,0.94255,0.60267,1.25258,0.74454,1.23851,0.00064004,0.00064004,0.00064004
47,200.073,1.30262,0.93536,1.22655,0.90875,0.90562,0.95578,0.58684,1.36631,0.80092,1.35532,0.000632151,0.000632151,0.000632151
48,203.848,1.31904,0.93579,1.24473,0.90806,0.89492,0.94605,0.51693,1.52858,0.83197,1.44365,0.000624156,0.000624156,0.000624156
49,207.538,1.2939,0.91354,1.2395,0.91307,0.92662,0.9526,0.5911,1.32292,0.72483,1.32665,0.000616058,0.000616058,0.000616058
50,211.267,1.30035,0.92538,1.21323,0.89373,0.94423,0.9437,0.52744,1.55714,0.79523,1.43821,0.000607861,0.000607861,0.000607861
51,215.01,1.32173,0.96215,1.22898,0.90732,0.88533,0.94295,0.56929,1.37216,0.7735,1.32284,0.00059957,0.00059957,0.00059957
52,218.762,1.30311,0.90687,1.21006,0.89155,0.92017,0.9391,0.57985,1.31337,0.74806,1.29277,0.00059119,0.00059119,0.00059119
53,222.483,1.2965,0.89957,1.21148,0.9099,0.89177,0.94915,0.61837,1.24401,0.70548,1.27915,0.000582723,0.000582723,0.000582723
54,226.263,1.28904,0.89857,1.20278,0.92248,0.9141,0.94566,0.60327,1.29715,0.72099,1.29207,0.000574175,0.000574175,0.000574175
55,230.008,1.28928,0.8806,1.19421,0.90178,0.92785,0.9398,0.60614,1.26846,0.71922,1.2548,0.000565549,0.000565549,0.000565549
56,233.738,1.29654,0.90813,1.21152,0.89766,0.92034,0.93787,0.58616,1.27954,0.71414,1.25627,0.000556851,0.000556851,0.000556851
57,237.459,1.27952,0.86994,1.19997,0.88988,0.91507,0.93747,0.62831,1.1966,0.7013,1.23252,0.000548084,0.000548084,0.000548084
58,241.194,1.30513,0.88772,1.20972,0.90999,0.92014,0.93081,0.60007,1.26925,0.74786,1.25482,0.000539252,0.000539252,0.000539252
59,244.93,1.29387,0.90003,1.20587,0.92848,0.89528,0.94158,0.56638,1.39857,0.69892,1.30405,0.000530361,0.000530361,0.000530361
60,248.713,1.30252,0.85906,1.22837,0.91567,0.9164,0.95447,0.61931,1.26011,0.66071,1.23242,0.000521415,0.000521415,0.000521415
61,256.725,1.29399,0.87973,1.19777,0.91872,0.93714,0.94782,0.61655,1.24508,0.67026,1.27403,0.000512418,0.000512418,0.000512418
62,260.511,1.26912,0.85203,1.20525,0.87644,0.95916,0.94485,0.61339,1.25913,0.68333,1.24527,0.000503375,0.000503375,0.000503375
63,264.261,1.27361,0.85637,1.21027,0.94729,0.91155,0.94957,0.63958,1.19358,0.67106,1.23738,0.00049429,0.00049429,0.00049429
64,268.037,1.27925,0.84374,1.19668,0.91697,0.91726,0.94896,0.66139,1.14007,0.67257,1.22112,0.000485168,0.000485168,0.000485168
65,271.794,1.25866,0.80917,1.18413,0.93227,0.90046,0.94774,0.63107,1.23294,0.6676,1.24653,0.000476014,0.000476014,0.000476014
66,275.573,1.25139,0.83623,1.19149,0.90278,0.91839,0.93992,0.62059,1.21178,0.7038,1.26137,0.000466832,0.000466832,0.000466832
67,279.353,1.26738,0.83032,1.18659,0.87817,0.91162,0.93311,0.60132,1.25536,0.74388,1.29853,0.000457626,0.000457626,0.000457626
68,283.08,1.25084,0.8249,1.1896,0.90439,0.90808,0.93205,0.60801,1.24347,0.71546,1.2657,0.000448402,0.000448402,0.000448402
69,286.789,1.26346,0.81283,1.1867,0.88836,0.92294,0.95075,0.61819,1.24788,0.67406,1.26479,0.000439164,0.000439164,0.000439164
70,290.575,1.25996,0.83414,1.18789,0.89979,0.91231,0.93594,0.62524,1.20714,0.68809,1.2568,0.000429917,0.000429917,0.000429917
71,294.336,1.2669,0.83065,1.18867,0.89663,0.9109,0.93025,0.59955,1.28008,0.70547,1.28097,0.000420665,0.000420665,0.000420665
72,298.101,1.2402,0.81339,1.18552,0.94481,0.891,0.93678,0.61072,1.25034,0.70301,1.27326,0.000411413,0.000411413,0.000411413
73,301.847,1.24178,0.83171,1.21497,0.90999,0.92168,0.94464,0.61446,1.25213,0.67619,1.27471,0.000402166,0.000402166,0.000402166
74,305.639,1.2369,0.81471,1.18859,0.88592,0.91588,0.92772,0.62824,1.18776,0.71119,1.22897,0.000392928,0.000392928,0.000392928
75,309.416,1.23237,0.80465,1.18327,0.90908,0.92747,0.95851,0.63421,1.20805,0.64655,1.22425,0.000383704,0.000383704,0.000383704
76,313.192,1.2304,0.81464,1.17695,0.91512,0.92112,0.95316,0.63164,1.21487,0.64167,1.23618,0.000374498,0.000374498,0.000374498
77,316.969,1.24383,0.77962,1.17731,0.91729,0.91334,0.94749,0.59634,1.29516,0.67694,1.27109,0.000365316,0.000365316,0.000365316
78,320.723,1.23038,0.79037,1.19552,0.9518,0.90814,0.95928,0.65197,1.17246,0.63181,1.2239,0.000356162,0.000356162,0.000356162
79,324.449,1.23232,0.73623,1.17655,0.93976,0.92104,0.95616,0.66436,1.14886,0.64885,1.21093,0.00034704,0.00034704,0.00034704
80,328.251,1.24057,0.78983,1.19942,0.92122,0.89162,0.95726,0.65087,1.19983,0.65199,1.2325,0.000337955,0.000337955,0.000337955
81,337.063,1.25637,0.7807,1.19601,0.91763,0.92019,0.95336,0.63716,1.21979,0.64036,1.24625,0.000328912,0.000328912,0.000328912
82,340.811,1.20341,0.79029,1.17677,0.93644,0.8971,0.9506,0.64848,1.18181,0.62939,1.22259,0.000319915,0.000319915,0.000319915
83,344.547,1.22104,0.75983,1.17432,0.90041,0.93664,0.95183,0.65248,1.15628,0.62413,1.21615,0.000310969,0.000310969,0.000310969
84,348.335,1.21025,0.75887,1.17527,0.87826,0.9104,0.94197,0.62685,1.18729,0.65876,1.22708,0.000302078,0.000302078,0.000302078
85,352.078,1.22208,0.74999,1.15516,0.94603,0.91924,0.95097,0.62918,1.25373,0.63297,1.2558,0.000293246,0.000293246,0.000293246
