epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,378.567,1.33836,1.05804,1.31537,0.88646,0.91952,0.93548,0.54499,1.47532,0.78593,1.42687,0.000670453,0.000670453,0.000670453
43,386.717,1.37108,1.0434,1.33188,0.8731,0.93002,0.94748,0.51738,1.56701,0.80301,1.49184,0.000663029,0.000663029,0.000663029
44,394.903,1.33722,1.04133,1.32196,0.87561,0.92963,0.94022,0.52719,1.4977,0.78603,1.44511,0.000655483,0.000655483,0.000655483
45,403.044,1.35921,1.00799,1.31388,0.91229,0.90865,0.93914,0.55907,1.39829,0.81619,1.39506,0.000647819,0.000647819,0.000647819
46,411.175,1.36193,1.0088,1.31261,0.93094,0.91556,0.94986,0.5724,1.37882,0.72821,1.37504,0.00064004,0.00064004,0.00064004
47,419.355,1.34971,0.97305,1.33104,0.87127,0.93068,0.92887,0.56718,1.33755,0.80506,1.36309,0.000632151,0.000632151,0.000632151
48,427.689,1.35613,0.96954,1.31607,0.92936,0.95301,0.95759,0.58657,1.41765,0.74166,1.37545,0.000624156,0.000624156,0.000624156
49,435.921,1.32965,0.98304,1.29062,0.9152,0.91438,0.95124,0.57861,1.38905,0.76346,1.37655,0.000616058,0.000616058,0.000616058
50,444.583,1.31727,0.97132,1.28756,0.91209,0.91846,0.94841,0.58797,1.36001,0.76042,1.3721,0.000607861,0.000607861,0.000607861
51,452.895,1.37677,1.02824,1.33896,0.87397,0.95412,0.94741,0.55779,1.46273,0.77242,1.43997,0.00059957,0.00059957,0.00059957
52,461.043,1.34869,0.97907,1.30463,0.90315,0.9436,0.95189,0.53156,1.53398,0.77811,1.47546,0.00059119,0.00059119,0.00059119
53,469.285,1.30192,0.95326,1.29526,0.90238,0.94361,0.94962,0.55284,1.41557,0.74813,1.41514,0.000582723,0.000582723,0.000582723
54,477.363,1.34564,0.94399,1.31916,0.92408,0.92128,0.9517,0.56238,1.44344,0.7299,1.39895,0.000574175,0.000574175,0.000574175
55,485.483,1.33294,0.89554,1.30184,0.91342,0.9114,0.93879,0.4556,1.77589,0.81918,1.61558,0.000565549,0.000565549,0.000565549
56,493.816,1.3533,0.95555,1.31583,0.89321,0.92787,0.94714,0.58489,1.36611,0.73886,1.34923,0.000556851,0.000556851,0.000556851
57,502.346,1.30788,0.87954,1.29083,0.90509,0.92089,0.93497,0.55061,1.43468,0.72994,1.38288,0.000548084,0.000548084,0.000548084
58,510.703,1.33543,0.90982,1.29589,0.91969,0.91941,0.94747,0.57731,1.41551,0.71864,1.37873,0.000539252,0.000539252,0.000539252
