epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1497.89,1.71287,0.97224,1.12389,0.7259,0.49654,0.56452,0.24885,1.92656,1.45131,1.19663,0.00082009,0.00082009,0.00082009
43,1533.09,1.73494,0.96588,1.1189,0.6111,0.64822,0.6375,0.27926,1.91964,1.30374,1.19632,0.000795584,0.000795584,0.000795584
44,1567.86,1.71262,0.94658,1.11556,0.62274,0.57559,0.61305,0.26853,1.92833,1.38293,1.1896,0.000770988,0.000770988,0.000770988
45,1603.11,1.71376,0.95362,1.11431,0.70039,0.59695,0.64458,0.275,1.925,1.30683,1.18699,0.000746331,0.000746331,0.000746331
46,1637.93,1.69798,0.93384,1.11261,0.78816,0.53216,0.62099,0.26706,1.93194,1.37399,1.20634,0.000721645,0.000721645,0.000721645
47,1673.17,1.66682,0.92404,1.10685,0.67767,0.52892,0.59022,0.26206,1.9547,1.26655,1.20525,0.000696959,0.000696959,0.000696959
48,1709.24,1.67865,0.91447,1.09716,0.66899,0.55118,0.60294,0.26356,1.9402,1.35074,1.20636,0.000672302,0.000672302,0.000672302
49,1744.41,1.6836,0.9026,1.10611,0.69545,0.60019,0.63712,0.2718,1.93216,1.28923,1.20851,0.000647706,0.000647706,0.000647706
50,1779.39,1.69266,0.9251,1.10071,0.54681,0.59914,0.55882,0.23562,1.96286,1.36997,1.21046,0.0006232,0.0006232,0.0006232
51,1814.28,1.66794,0.91864,1.10692,0.66628,0.5994,0.60327,0.25853,1.95566,1.38378,1.20675,0.000598814,0.000598814,0.000598814
52,1849.14,1.67724,0.90594,1.09915,0.73334,0.54856,0.59812,0.26226,1.94882,1.36161,1.20366,0.000574578,0.000574578,0.000574578
53,1884.08,1.67498,0.89602,1.09589,0.56696,0.56852,0.56474,0.24182,1.94058,1.38434,1.2037,0.00055052,0.00055052,0.00055052
54,1919.69,1.65418,0.88685,1.08149,0.63052,0.54769,0.60133,0.25553,1.96567,1.39355,1.21706,0.000526672,0.000526672,0.000526672
55,1955.06,1.64573,0.87521,1.09252,0.77006,0.50064,0.59577,0.25934,1.94801,1.27917,1.21098,0.00050306,0.00050306,0.00050306
56,1990.07,1.66636,0.88579,1.10385,0.7552,0.504,0.58322,0.25323,1.95752,1.29481,1.21244,0.000479715,0.000479715,0.000479715
57,2025.21,1.64837,0.86125,1.0848,0.5925,0.63881,0.61459,0.26486,1.96525,1.27903,1.21371,0.000456665,0.000456665,0.000456665
58,2060.29,1.64738,0.87166,1.09451,0.68582,0.56322,0.59007,0.25209,1.94755,1.35396,1.21132,0.000433938,0.000433938,0.000433938
59,2095.38,1.6524,0.88474,1.09971,0.68608,0.59702,0.63025,0.26615,1.96622,1.37415,1.21939,0.000411561,0.000411561,0.000411561
60,2130.43,1.62805,0.85154,1.07691,0.7073,0.62811,0.65627,0.26864,1.9614,1.30895,1.21322,0.000389562,0.000389562,0.000389562
61,2169.74,1.63606,0.85794,1.095,0.59865,0.57899,0.56702,0.23555,1.95995,1.44677,1.21157,0.000367968,0.000367968,0.000367968
62,2204.79,1.64171,0.85994,1.08951,0.67919,0.60826,0.60867,0.2564,1.97772,1.34161,1.21401,0.000346804,0.000346804,0.000346804
63,2239.74,1.63345,0.85251,1.08439,0.64131,0.65348,0.65059,0.27615,1.96544,1.26624,1.21142,0.000326097,0.000326097,0.000326097
